city,beverage,pastry,dessert,total
Quezon,6929,3008,1384,11321
Manila,3764,1405,728,5897
Davao,3484,1689,614,5787
Caloocan,2857,1336,555,4748
Cebu,3009,1108,528,4645
Taguig,2266,967,449,3682
Bacolod,2494,772,245,3511
Pasig,1907,934,471,3312
Antipolo,1808,874,349,3031
Cagayan De Oro,1657,819,268,2744
Paranaque,1591,765,332,2688
Makati,1751,570,272,2593
Dasmarinas,1541,684,276,2501
Las Pinas,1408,668,292,2368
Bacoor,1431,641,288,2360
Marikina,1428,654,253,2335
Angeles,1468,471,238,2177
Valenzuela,1301,592,269,2162
Imus,1260,593,268,2121
San Jose Del Monte,1260,557,261,2078
